project_id,field,value,source,note
20,address,"7940 Reseda Boulevard, Reseda, CA",collaborator-sheet,fills blank
21,acquisition_price_m,16300000,collaborator-sheet,
21,acquisition_date,2024-06-13,collaborator-sheet,
21,scc_filed,True,collaborator-sheet,
21,restricted_units,52,collaborator-sheet,fills blank
21,address,"18325 Saticoy St, Reseda, CA 91335",collaborator-sheet,fills blank
19,investor_2,Post Investment Group,collaborator-sheet,
19,built,1969,collaborator-sheet,
19,scc_filed,True,collaborator-sheet,
19,restricted_units,160,collaborator-sheet,fills blank
19,address,"1100-1200 E. Fairhaven Avenue, Santa Ana, CA",collaborator-sheet,fills blank
22,built,1989,collaborator-sheet,
22,scc_filed,True,collaborator-sheet,
22,restricted_units,225,collaborator-sheet,fills blank
22,address,"2701 Randolph St., Huntington Park, CA",collaborator-sheet,fills blank
23,new_build,YES,collaborator-sheet,
23,manual_status,dead,collaborator-sheet,
23,restricted_units,74,collaborator-sheet,fills blank
23,address,"445 N. Avalon Boulevard, Los Angeles, CA",collaborator-sheet,fills blank
24,scc_filed,True,collaborator-sheet,
24,resolution,24-253,collaborator-sheet,fills blank
24,restricted_units,24,collaborator-sheet,fills blank
24,address,"4209 S Western Ave, Los Angeles, CA 90062",collaborator-sheet,fills blank
25,scc_filed,True,collaborator-sheet,
25,restricted_units,28,collaborator-sheet,fills blank
25,address,"1130 W Martin Luther King Jr Blvd, Los Angeles, CA 90037",collaborator-sheet,fills blank
34,scc_filed,True,collaborator-sheet,
34,city,El Sobrante,collaborator-sheet,differs from generated: 'Los Angeles'
34,county,Contra Costa,collaborator-sheet,differs from generated: 'Los Angeles'
34,restricted_units,41,collaborator-sheet,fills blank
34,address,"4481 Appian Way, El Sobrante, CA 94803",collaborator-sheet,fills blank
34,city_cut,6150,collaborator-sheet,fills blank
35,scc_filed,True,collaborator-sheet,
35,city,Unincorporated,collaborator-sheet,fills blank
35,resolution,24-278,collaborator-sheet,fills blank
35,restricted_units,104,collaborator-sheet,fills blank
35,address,"4930 Polk St, North Highlands, CA 95660",collaborator-sheet,fills blank
35,city_cut,15600,collaborator-sheet,fills blank
33,new_build,YES,collaborator-sheet,
33,manual_status,stale,collaborator-sheet,
33,restricted_units,48,collaborator-sheet,fills blank
33,address,"7518 S. Hoover, Los Angeles, CA",collaborator-sheet,fills blank
27,new_build,NO,collaborator-sheet,
27,built,1997,collaborator-sheet,
27,acquisition_price_m,17170000,collaborator-sheet,
27,acquisition_date,2024-09-12,collaborator-sheet,
27,link,https://www.1422on6th.com/,collaborator-sheet,
27,scc_filed,True,collaborator-sheet,
27,total_units,52,collaborator-sheet,differs from generated: '24'
27,restricted_units,32,collaborator-sheet,fills blank
27,address,"1422-1428 6th St., Santa Monica, CA",collaborator-sheet,fills blank
28,scc_filed,True,collaborator-sheet,
28,total_units,72,collaborator-sheet,differs from generated: '22'
28,restricted_units,49,collaborator-sheet,fills blank
28,address,"1422-1432 7th, Santa Monica, CA",collaborator-sheet,fills blank
29,scc_filed,True,collaborator-sheet,
29,total_units,48,collaborator-sheet,differs from generated: '24'
29,restricted_units,29,collaborator-sheet,fills blank
29,address,"1423-1425 6th, Santa Monica, CA",collaborator-sheet,fills blank
30,built,2004,collaborator-sheet,
30,scc_filed,True,collaborator-sheet,
30,restricted_units,25,collaborator-sheet,fills blank
30,address,"1522 6th St, Santa Monica, CA",collaborator-sheet,fills blank
31,acquisition_price_m,5390000,collaborator-sheet,
31,acquisition_date,2024-09-12,collaborator-sheet,
31,scc_filed,True,collaborator-sheet,
31,restricted_units,25,collaborator-sheet,fills blank
31,address,"1537 7th, Santa Monica, CA",collaborator-sheet,fills blank
32,built,2008,collaborator-sheet,
32,scc_filed,True,collaborator-sheet,
32,total_units,165,collaborator-sheet,differs from generated: '65'
32,restricted_units,98,collaborator-sheet,fills blank
32,address,"2001-2029 Olympic Blvd, Santa Monica",collaborator-sheet,fills blank
26,built,1987,collaborator-sheet,
26,scc_filed,True,collaborator-sheet,
26,restricted_units,93,collaborator-sheet,fills blank
26,address,"441 W 3rd St, San Pedro, CA 90731",collaborator-sheet,fills blank
36,scc_filed,True,collaborator-sheet,
36,resolution,24-361,collaborator-sheet,fills blank
36,restricted_units,80,collaborator-sheet,fills blank
36,address,"9301 – 9609 Crenshaw
Blvd, Inglewood, CA",collaborator-sheet,fills blank
37,new_build,YES,collaborator-sheet,
37,scc_filed,True,collaborator-sheet,
37,property_name,2330 E. 3rd Street Apartments,collaborator-sheet,differs from generated: '2330 3rd Street Apartments'
37,resolution,24-363,collaborator-sheet,fills blank
37,restricted_units,53,collaborator-sheet,fills blank
37,address,"2330 E. 3rd Street, Los Angeles, CA",collaborator-sheet,fills blank
39,new_build,YES,collaborator-sheet,
39,scc_filed,True,collaborator-sheet,
39,resolution,24-379,collaborator-sheet,fills blank
39,restricted_units,51,collaborator-sheet,fills blank
39,address,"6200 S Broadway, Los Angeles, CA",collaborator-sheet,fills blank
40,new_build,YES,collaborator-sheet,
40,manual_status,dead,collaborator-sheet,
40,resolution,24-380,collaborator-sheet,fills blank
40,restricted_units,14,collaborator-sheet,fills blank
40,address,"4228 Western Avenue, Los Angeles, CA",collaborator-sheet,fills blank
41,new_build,YES,collaborator-sheet,
41,restricted_units,111,collaborator-sheet,fills blank
41,address,"4327 S Vermont, Los Angeles, CA",collaborator-sheet,fills blank
42,new_build,YES,collaborator-sheet,
42,manual_status,dead,collaborator-sheet,
42,restricted_units,71,collaborator-sheet,fills blank
42,address,"110 Imperial Highway, Los Angeles, CA",collaborator-sheet,fills blank
38,new_build,NO,collaborator-sheet,
38,built,1965,collaborator-sheet,
38,scc_filed,True,collaborator-sheet,
38,restricted_units,236,collaborator-sheet,fills blank
38,address,"12300 Sherman Way, North Hollywood, CA 91605",collaborator-sheet,fills blank
43,new_build,NO,collaborator-sheet,
43,manual_status,dead,collaborator-sheet,
43,restricted_units,99,collaborator-sheet,fills blank
43,address,"400 Canal St, San Rafael, CA 94901",collaborator-sheet,fills blank
43,city_cut,14850,collaborator-sheet,fills blank
46,new_build,YES,collaborator-sheet,
46,manual_status,dead,collaborator-sheet,
46,restricted_units,53,collaborator-sheet,fills blank
46,address,"4752 Main St, Los Angeles, CA 90037",collaborator-sheet,fills blank
45,investor_2,Bridge Investment Group,collaborator-sheet,
45,new_build,NO,collaborator-sheet,
45,scc_filed,True,collaborator-sheet,
45,restricted_units,406,collaborator-sheet,fills blank
45,address,"2414 N Tustin Ave, Santa Ana, CA 92705",collaborator-sheet,fills blank
48,investor_2,Ethos Real Estate,collaborator-sheet,
48,new_build,NO,collaborator-sheet,
48,scc_filed,True,collaborator-sheet,
48,investor_1,Vistria Group,collaborator-sheet,differs from generated: 'Ethos Real Estate'
48,restricted_units,697,collaborator-sheet,fills blank
48,address,"3500 Edison St, San Mateo, CA 94403",collaborator-sheet,fills blank
47,new_build,YES,collaborator-sheet,
47,scc_filed,True,collaborator-sheet,
47,restricted_units,483,collaborator-sheet,fills blank
47,address,"6171 Mission Gorge Rd, San Diego, CA 92120",collaborator-sheet,fills blank
44,new_build,YES,collaborator-sheet,
44,scc_filed,True,collaborator-sheet,
44,nonprofit_partner,Step Forward Comminities,collaborator-sheet,differs from generated: 'Step Forward Communities'
44,restricted_units,40,collaborator-sheet,fills blank
44,address,"228 N Soto Street, Los Angeles, CA",collaborator-sheet,fills blank
50,new_build,NO,collaborator-sheet,
50,scc_filed,True,collaborator-sheet,
50,restricted_units,229,collaborator-sheet,fills blank
50,address,"699 14th Street, San Diego, CA",collaborator-sheet,fills blank
50,city_cut,34350,collaborator-sheet,fills blank
52,new_build,NO,collaborator-sheet,
52,manual_status,dead,collaborator-sheet,
52,city,Unincorporated,collaborator-sheet,fills blank
52,restricted_units,62,collaborator-sheet,fills blank
52,address,"1201 Fulton Ave, Sacramento, CA 95825",collaborator-sheet,fills blank
52,city_cut,9300,collaborator-sheet,fills blank
51,new_build,NO,collaborator-sheet,
51,built,1984,collaborator-sheet,
51,manual_status,dead,collaborator-sheet,
51,total_units,145,collaborator-sheet,differs from generated: '144'
51,restricted_units,144,collaborator-sheet,fills blank
51,address,"220 47th St, San Diego, CA 92102",collaborator-sheet,fills blank
53,new_build,NO,collaborator-sheet,
53,built,1973/1991,collaborator-sheet,
53,manual_status,dead,collaborator-sheet,
53,city,Unincorporated,collaborator-sheet,fills blank
53,restricted_units,198,collaborator-sheet,fills blank
53,address,"6930 Fair Oaks Blvd, Carmichael, CA 95608",collaborator-sheet,fills blank
53,city_cut,29700,collaborator-sheet,fills blank
54,new_build,NO,collaborator-sheet,
54,scc_filed,True,collaborator-sheet,
54,resolution,24-442,collaborator-sheet,fills blank
54,total_units,356,collaborator-sheet,differs from generated: '42'
54,restricted_units,144,collaborator-sheet,fills blank
54,address,"5601 North Paramount Boulevard, Long Beach, Los Angeles",collaborator-sheet,fills blank
55,investor_2,"Open House Group Co., Ltd",collaborator-sheet,
55,new_build,YES,collaborator-sheet,
55,scc_filed,True,collaborator-sheet,
55,restricted_units,151,collaborator-sheet,fills blank
55,address,"1457 N Main St, Los Angeles, CA 90012",collaborator-sheet,fills blank
56,leasing_link,https://bridgehousing.com/properties/viewpoint/,collaborator-sheet,
56,investor_1,Bridge Housing,collaborator-sheet,differs from generated: 'BRIDGE Housing Corporation'
56,nonprofit_partner,Bridge Housing,collaborator-sheet,differs from generated: 'BRIDGE Housing Corporation'
56,restricted_units,71,collaborator-sheet,fills blank
56,address,"651 Addison St, Berkeley, CA 94710",collaborator-sheet,fills blank
59,new_build,YES,collaborator-sheet,
59,built,2023,collaborator-sheet,
59,scc_filed,True,collaborator-sheet,
59,city,San Francisco,collaborator-sheet,fills blank
59,resolution,24-471,collaborator-sheet,fills blank
59,restricted_units,100,collaborator-sheet,fills blank
59,address,"99 OCEAN AVE SAN FRANCISCO, CA 94112-2548",collaborator-sheet,fills blank
57,investor_2,Bridge Investment Group,collaborator-sheet,
57,new_build,NO,collaborator-sheet,
57,built,1969,collaborator-sheet,
57,acquisition_price_m,61.1,collaborator-sheet,
57,acquisition_date,2024-12-31,collaborator-sheet,
57,link,https://www.ethos-re.com/news/sofi-at-los-gatos-creek-adam-siegman-comments-on-affordable-housing,collaborator-sheet,
57,leasing_link,https://www.losgatoslandingapts.com/,collaborator-sheet,
57,scc_filed,True,collaborator-sheet,
57,restricted_units,193,collaborator-sheet,fills blank
57,address,"2130 Southwest Expy, San Jose, CA 95126",collaborator-sheet,fills blank
58,new_build,NO,collaborator-sheet,
58,scc_filed,True,collaborator-sheet,
58,restricted_units,296,collaborator-sheet,fills blank
58,address,"38441 5th St W, Palmdale, CA 93551",collaborator-sheet,fills blank
60,new_build,YES,collaborator-sheet,
60,entity,Prometheus Real Estate Group,collaborator-sheet,"differs from generated: 'PREG 5150 ECR Los Altos, LP, a California limited partnershi'"
60,total_units,196,collaborator-sheet,differs from generated: '29'
60,restricted_units,29,collaborator-sheet,fills blank
60,address,"5150 El Camino Real, Los Altos, CA",collaborator-sheet,fills blank
60,city_cut,4350,collaborator-sheet,fills blank
64,manual_status,dead,collaborator-sheet,
64,resolution,25-080,collaborator-sheet,fills blank
64,investor_1,Visionary Development Enterprises LLC,collaborator-sheet,fills blank
64,nonprofit_partner,Housing on Merit,collaborator-sheet,fills blank
64,total_units,33,collaborator-sheet,fills blank
64,restricted_units,32,collaborator-sheet,fills blank
64,address,"333 Douglas St, Los Angeles, CA",collaborator-sheet,fills blank
64,city_cut,4800,collaborator-sheet,fills blank
61,new_build,YES,collaborator-sheet,
61,manual_status,dead,collaborator-sheet,
61,resolution,25-081,collaborator-sheet,fills blank
61,investor_1,"SoLa Impact, LLC",collaborator-sheet,fills blank
61,nonprofit_partner,Housing on Merit,collaborator-sheet,fills blank
61,total_units,166,collaborator-sheet,fills blank
61,restricted_units,165,collaborator-sheet,fills blank
61,address,"11422 S Broadway, Los Angeles, CA 90061",collaborator-sheet,fills blank
61,city_cut,24750,collaborator-sheet,fills blank
63,scc_filed,True,collaborator-sheet,
63,resolution,25-082,collaborator-sheet,fills blank
63,restricted_units,32,collaborator-sheet,fills blank
63,address,"3081 N Main St, Walnut Creek, CA 94597",collaborator-sheet,fills blank
63,city_cut,4800,collaborator-sheet,fills blank
62,new_build,YES,collaborator-sheet,
62,scc_filed,True,collaborator-sheet,
62,restricted_units,115,collaborator-sheet,fills blank
62,address,"2533 S Mansfield Ave, Los Angeles, CA 90016",collaborator-sheet,fills blank
67,scc_filed,True,collaborator-sheet,
67,restricted_units,68,collaborator-sheet,fills blank
67,address,"1250 S. Euclid St., Anaheim, CA",collaborator-sheet,fills blank
65,new_build,NO,collaborator-sheet,
65,built,1978,collaborator-sheet,
65,scc_filed,True,collaborator-sheet,
65,restricted_units,270,collaborator-sheet,fills blank
65,address,"7777 Valley View Street, La Palma, CA",collaborator-sheet,fills blank
66,manual_status,dead,collaborator-sheet,
66,restricted_units,13,collaborator-sheet,fills blank
66,address,"920 S. Gramercy Place, Los Angeles, CA",collaborator-sheet,fills blank
69,manual_status,dead,collaborator-sheet,
69,restricted_units,50,collaborator-sheet,fills blank
69,address,"10535 Lindley Ave, Granada Hills, CA 91326",collaborator-sheet,fills blank
68,new_build,NO,collaborator-sheet,
68,built,1964,collaborator-sheet,
68,scc_filed,True,collaborator-sheet,
68,restricted_units,189,collaborator-sheet,fills blank
68,address,"9830 Reseda Blvd, Northridge, CA 91324",collaborator-sheet,fills blank
70,address,"26 Terrace View Ct, Daly City, CA 94015",collaborator-sheet,fills blank
71,acquisition_date,2024-12-05,collaborator-sheet,
71,leasing_link,https://www.theheltsley.com/,collaborator-sheet,
71,restricted_units,112,collaborator-sheet,fills blank
71,address,"1212 Whipple Ave, Redwood City, CA 94062",collaborator-sheet,fills blank
72,investor_2,Angeleno Investments LP,collaborator-sheet,
72,new_build,NO,collaborator-sheet,
72,built,2016,collaborator-sheet,
72,city,San Francisco,collaborator-sheet,fills blank
72,restricted_units,136,collaborator-sheet,fills blank
72,address,"5880 3rd St, San Francisco, CA 94124",collaborator-sheet,fills blank
72,city_cut,20400,collaborator-sheet,fills blank
73,new_build,YES,collaborator-sheet,
73,scc_filed,True,collaborator-sheet,
73,restricted_units,148,collaborator-sheet,fills blank
73,address,"1540 W Court St, Los Angeles, CA 90026",collaborator-sheet,fills blank
75,investor_2,Bridge Investment Group,collaborator-sheet,
75,new_build,NO,collaborator-sheet,
75,restricted_units,203,collaborator-sheet,fills blank
75,address,"5474 Reservoir Dr, San Diego, CA 92120",collaborator-sheet,fills blank
75,city_cut,30450,collaborator-sheet,fills blank
74,new_build,YES,collaborator-sheet,
74,scc_filed,True,collaborator-sheet,
74,restricted_units,145,collaborator-sheet,fills blank
74,address,"5040 Logan Avenue, San Diego, CA 92113",collaborator-sheet,fills blank
74,city_cut,22050,collaborator-sheet,fills blank
76,new_build,YES,collaborator-sheet,
76,entity,1451 W. MLK Boulevard Apartments,collaborator-sheet,"differs from generated: '3 SIOF 1451 W MLK BLVD, LP'"
76,restricted_units,49,collaborator-sheet,fills blank
76,address,"1451 W. MLK Blvd, Los Angeles, CA",collaborator-sheet,fills blank
78,investor_2,Vintage Housing Holdings,collaborator-sheet,
78,new_build,NO,collaborator-sheet,
78,link,https://www.cmfa-ca.com/wp-content/uploads/2025/01/CMFA-Staff-Reports-01-10-25.pdf,collaborator-sheet,
78,scc_filed,True,collaborator-sheet,
78,investor_1,Kennedy Wilson,collaborator-sheet,"differs from generated: 'Vintage Housing Holdings, LLC / Kennedy Wilson'"
78,nonprofit_partner,Hearthstone Housing Foundation,collaborator-sheet,"differs from generated: 'Pacific Housing, Inc.'"
78,total_units,1008,collaborator-sheet,differs from generated: '8'
78,restricted_units,1008,collaborator-sheet,fills blank
78,address,"3400 Richmond Pkwy, Richmond, CA 94806",collaborator-sheet,fills blank
80,new_build,YES,collaborator-sheet,
80,restricted_units,35,collaborator-sheet,fills blank
80,address,"4101 Somerset Drive, Los Angeles, CA",collaborator-sheet,fills blank
81,new_build,YES,collaborator-sheet,
81,total_units,31,collaborator-sheet,differs from generated: '32'
81,restricted_units,30,collaborator-sheet,fills blank
81,address,"321 E. Florence Ave, Los Angeles, CA",collaborator-sheet,fills blank
81,city_cut,4500,collaborator-sheet,differs from generated: '4650.0'
82,new_build,YES,collaborator-sheet,
82,restricted_units,19,collaborator-sheet,fills blank
82,address,"9300 Compton Ave., Los Angeles, CA",collaborator-sheet,fills blank
83,new_build,YES,collaborator-sheet,
83,restricted_units,27,collaborator-sheet,fills blank
83,address,"6401 S. Avalon Blvd., Los Angeles, CA",collaborator-sheet,fills blank
84,new_build,YES,collaborator-sheet,
84,restricted_units,20,collaborator-sheet,fills blank
84,address,"9515 Compton Avenue, Los Angeles, CA",collaborator-sheet,fills blank
79,new_build,YES,collaborator-sheet,
79,entity,10811 S. Compton Ave Apartments,collaborator-sheet,"differs from generated: '2 SIOF 10811 S Compton Ave, LP'"
79,restricted_units,28,collaborator-sheet,fills blank
79,address,"10811 S. Compton Avenue, Los Angeles, CA",collaborator-sheet,fills blank
85,new_build,YES,collaborator-sheet,
85,entity,"SIOF 5 Properties, LP, California limited partnership",collaborator-sheet,"differs from generated: 'SIOF 5 Properties, LP, a California limited partnership'"
85,restricted_units,47,collaborator-sheet,fills blank
85,address,"569 W. 6th Street, San Pedro, CA",collaborator-sheet,fills blank
86,new_build,YES,collaborator-sheet,
86,entity,"2 SIOF 685 W Fourth St, LP, Delaware limited partnership",collaborator-sheet,"differs from generated: '2 SIOF 685 W Fourth St, LP, a Delaware limited partnership'"
86,restricted_units,27,collaborator-sheet,fills blank
86,address,"685 W. 4th St., Los Angeles, CA",collaborator-sheet,fills blank
87,investor_2,Kennedy Wilson,collaborator-sheet,
87,new_build,NO,collaborator-sheet,
87,scc_filed,True,collaborator-sheet,
87,investor_1,Vintage Housing Holdings,collaborator-sheet,"differs from generated: 'Vintage Housing Holdings, LLC / Kennedy Wilson'"
87,restricted_units,687,collaborator-sheet,fills blank
87,address,"209 Westmoreland Ave, Los Angeles, CA 90004",collaborator-sheet,fills blank
77,new_build,YES,collaborator-sheet,
77,restricted_units,17,collaborator-sheet,fills blank
77,address,"11630 Main St, Los Angeles, CA 90061",collaborator-sheet,fills blank
90,new_build,NO,collaborator-sheet,
90,restricted_units,84,collaborator-sheet,fills blank
90,address,"18615 E Arrow Hwy, Covina, CA 91722",collaborator-sheet,fills blank
89,acquisition_date,2025-09-03,collaborator-sheet,
89,restricted_units,230,collaborator-sheet,fills blank
89,address,"1700 Newbury Park Dr, San Jose, CA 95133",collaborator-sheet,fills blank
158,new_build,YES,collaborator-sheet,
158,manual_status,dead,collaborator-sheet,
158,total_units,29,collaborator-sheet,differs from generated: '30'
158,restricted_units,29,collaborator-sheet,fills blank
88,new_build,YES,collaborator-sheet,
88,restricted_units,68,collaborator-sheet,fills blank
88,address,"17188 Chatsworth St., Los Angeles, CA",collaborator-sheet,fills blank
97,new_build,NO,collaborator-sheet,
97,restricted_units,112,collaborator-sheet,fills blank
97,address,"601 E 8th St, Azusa, CA 91702",collaborator-sheet,fills blank
96,investor_2,Vistria,collaborator-sheet,
96,built,1972,collaborator-sheet,
96,acquisition_price_m,410,collaborator-sheet,
96,acquisition_date,2025-08-27,collaborator-sheet,
96,scc_filed,True,collaborator-sheet,
96,restricted_units,948,collaborator-sheet,fills blank
96,address,"355 Kiely Blvd, San Jose, CA 95129",collaborator-sheet,fills blank
95,investor_2,Belveron Partners,collaborator-sheet,
95,acquisition_date,2025-08-29,collaborator-sheet,
95,link,https://rebusinessonline.com/sack-properties-belveron-partners-buy-164-unit-multifamily-property-in-san-jose-california/,collaborator-sheet,
95,scc_filed,True,collaborator-sheet,
95,resolution,25-349,collaborator-sheet,fills blank
95,investor_1,Sack Capital Partners,collaborator-sheet,differs from generated: 'Belveron Partners'
95,nonprofit_partner,Las Palmas Housing & Development Corp.,collaborator-sheet,differs from generated: 'Las Palmas Housing & Development Corporation'
95,restricted_units,164,collaborator-sheet,fills blank
95,address,"1026 S De Anza Blvd, San Jose, CA 95129",collaborator-sheet,fills blank
92,new_build,NO,collaborator-sheet,
92,scc_filed,True,collaborator-sheet,
92,restricted_units,177,collaborator-sheet,fills blank
92,address,"4640 Arden Way, El Monte, CA 91731",collaborator-sheet,fills blank
93,new_build,NO,collaborator-sheet,
93,resolution,25-351,collaborator-sheet,fills blank
93,investor_1,BRIDGE Housing Corp.,collaborator-sheet,differs from generated: 'BRIDGE Housing Corporation'
93,nonprofit_partner,BRIDGE Housing Corp.,collaborator-sheet,fills blank
93,restricted_units,148,collaborator-sheet,fills blank
93,address,"800 Reliant Wy, American Canyon, CA 94503",collaborator-sheet,fills blank
94,new_build,NO,collaborator-sheet,
94,built,1981,collaborator-sheet,
94,scc_filed,True,collaborator-sheet,
94,restricted_units,183,collaborator-sheet,fills blank
94,address,"601 Telegraph Canyon Road, Chula Vista, CA 91910",collaborator-sheet,fills blank
91,new_build,YES,collaborator-sheet,
91,restricted_units,37,collaborator-sheet,fills blank
91,address,"10910 Huston St, North Hollywood, CA 91601",collaborator-sheet,fills blank
98,new_build,NO,collaborator-sheet,
98,leasing_link,https://www.camdenvillageapts.com/,collaborator-sheet,
98,manual_status,dead,collaborator-sheet,
98,restricted_units,192,collaborator-sheet,fills blank
98,address,"38000 Camden St, Fremont, CA 94536",collaborator-sheet,fills blank
99,new_build,YES,collaborator-sheet,
99,scc_filed,True,collaborator-sheet,
99,restricted_units,53,collaborator-sheet,fills blank
99,address,"1734 S. Barrington Ave., Los Angeles, CA, 90025",collaborator-sheet,fills blank
100,new_build,YES,collaborator-sheet,
100,scc_filed,True,collaborator-sheet,
100,restricted_units,71,collaborator-sheet,fills blank
100,address,"4129 Centinela Avenue, Los Angeles, CA 90066",collaborator-sheet,fills blank
101,new_build,YES,collaborator-sheet,
101,scc_filed,True,collaborator-sheet,
101,restricted_units,72,collaborator-sheet,fills blank
101,address,"4706 Centinela Avenue, Los Angeles, CA 90066",collaborator-sheet,fills blank
102,new_build,YES,collaborator-sheet,
102,scc_filed,True,collaborator-sheet,
102,restricted_units,52,collaborator-sheet,fills blank
102,address,"1747 Stoner Avenue, Los Angeles, CA 90025",collaborator-sheet,fills blank
103,new_build,NO,collaborator-sheet,
103,restricted_units,25,collaborator-sheet,fills blank
103,address,"2025 E. 4th Street, Los Angeles, CA",collaborator-sheet,fills blank
