table,project_id,field,value,source,note
grants,12,restricted_units,154,collaborator-sheet,fills blank
grants,14,leasing_link,https://www.electriclofts.com/,collaborator-sheet,
grants,14,address,"2415 Valdez St, Oakland, CA 94612",collaborator-sheet,fills blank
grants,13,investor_2,Stars Real Estate Investment,collaborator-sheet,
grants,13,manual_status,dead,collaborator-sheet,
grants,13,address,"275 Turk St, San Francisco, CA",collaborator-sheet,fills blank
grants,15,built,2023,collaborator-sheet,
grants,15,manual_status,dead,collaborator-sheet,
grants,15,address,"6762 Hawthorn Ave, Los Angeles, CA 90028",collaborator-sheet,fills blank
grants,17,investor_2,Magnum Real Estate Group,collaborator-sheet,
grants,17,new_build,NO,collaborator-sheet,
grants,17,built,2020,collaborator-sheet,
grants,17,address,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,collaborator-sheet,fills blank
grants,16,new_build,YES,collaborator-sheet,
grants,16,address,"343 Moon River Pl, Vacaville, CA 95687",collaborator-sheet,fills blank
grants,18,built,2021,collaborator-sheet,
grants,18,city,San Diego,collaborator-sheet,fills blank
grants,18,nonprofit_partner,Pacific Affordable Housing Corp,collaborator-sheet,"reviewed 2026-08-22, manual kept: collaborator split combined AOF/Pacific attribution"
grants,18,address,"1735 S Mission Rd, Fallbrook, CA 92028",collaborator-sheet,fills blank
grants,18,city_cut,15300,collaborator-sheet,fills blank
grants,20,acquisition_price_m,17600000,collaborator-sheet,
grants,20,acquisition_date,2024-06-28,collaborator-sheet,
grants,20,address,"7940 Reseda Boulevard, Reseda, CA",collaborator-sheet,fills blank
grants,21,acquisition_price_m,16300000,collaborator-sheet,
grants,21,acquisition_date,2024-06-13,collaborator-sheet,
grants,21,address,"18325 Saticoy St, Reseda, CA 91335",collaborator-sheet,fills blank
grants,19,investor_2,Post Investment Group,collaborator-sheet,
grants,19,built,1969,collaborator-sheet,
grants,19,address,"1100-1200 E. Fairhaven Avenue, Santa Ana, CA",collaborator-sheet,fills blank
grants,22,built,1989,collaborator-sheet,
grants,22,address,"2701 Randolph St., Huntington Park, CA",collaborator-sheet,fills blank
grants,23,new_build,YES,collaborator-sheet,
grants,23,manual_status,dead,collaborator-sheet,
grants,24,resolution,24-253,collaborator-sheet,fills blank
grants,24,address,"4209 S Western Ave, Los Angeles, CA 90062",collaborator-sheet,fills blank
grants,25,address,"1130 W Martin Luther King Jr Blvd, Los Angeles, CA 90037",collaborator-sheet,fills blank
grants,34,city,El Sobrante,collaborator-sheet,"reviewed 2026-08-22, manual kept: agenda error; property is in El Sobrante"
grants,34,county,Contra Costa,collaborator-sheet,"reviewed 2026-08-22, manual kept: agenda error; property is in Contra Costa"
grants,34,address,"4481 Appian Way, El Sobrante, CA 94803",collaborator-sheet,fills blank
grants,34,city_cut,6150,collaborator-sheet,fills blank
grants,35,city,Unincorporated,collaborator-sheet,fills blank
grants,35,resolution,24-278,collaborator-sheet,fills blank
grants,35,address,"4930 Polk St, North Highlands, CA 95660",collaborator-sheet,fills blank
grants,35,city_cut,15600,collaborator-sheet,fills blank
grants,33,new_build,YES,collaborator-sheet,
grants,33,manual_status,stale,collaborator-sheet,
grants,33,address,"7518 S. Hoover, Los Angeles, CA",collaborator-sheet,fills blank
grants,27,new_build,NO,collaborator-sheet,
grants,27,built,1997,collaborator-sheet,
grants,27,acquisition_price_m,17170000,collaborator-sheet,
grants,27,acquisition_date,2024-09-12,collaborator-sheet,
grants,27,link,https://www.1422on6th.com/,collaborator-sheet,
grants,27,total_units,52,collaborator-sheet,"adjudicated 2026-08 (Drew): manual correct — multi-building sum (28+24), parser caught one building"
grants,27,address,"1422-1428 6th St., Santa Monica, CA",collaborator-sheet,fills blank
grants,28,total_units,72,collaborator-sheet,"adjudicated 2026-08 (Drew): manual correct — multi-building sum, parser caught one building"
grants,28,address,"1422-1432 7th, Santa Monica, CA",collaborator-sheet,fills blank
grants,29,total_units,48,collaborator-sheet,"adjudicated 2026-08 (Drew): manual correct — multi-building sum, parser caught one building"
grants,29,address,"1423-1425 6th, Santa Monica, CA",collaborator-sheet,fills blank
grants,30,built,2004,collaborator-sheet,
grants,30,address,"1522 6th St, Santa Monica, CA",collaborator-sheet,fills blank
grants,31,acquisition_price_m,5390000,collaborator-sheet,
grants,31,acquisition_date,2024-09-12,collaborator-sheet,
grants,31,address,"1537 7th, Santa Monica, CA",collaborator-sheet,fills blank
grants,32,built,2008,collaborator-sheet,
grants,32,total_units,165,collaborator-sheet,"adjudicated 2026-08 (Drew): manual correct — multi-building sum, parser caught one building"
grants,32,address,"2001-2029 Olympic Blvd, Santa Monica",collaborator-sheet,fills blank
grants,26,built,1987,collaborator-sheet,
grants,26,address,"441 W 3rd St, San Pedro, CA 90731",collaborator-sheet,fills blank
grants,36,resolution,24-361,collaborator-sheet,fills blank
grants,37,new_build,YES,collaborator-sheet,
grants,37,property_name,2330 E. 3rd Street Apartments,collaborator-sheet,"reviewed 2026-08-22, manual kept: agenda missing E. (East)"
grants,37,resolution,24-363,collaborator-sheet,fills blank
grants,37,address,"2330 E. 3rd Street, Los Angeles, CA",collaborator-sheet,fills blank
grants,39,new_build,YES,collaborator-sheet,
grants,39,resolution,24-379,collaborator-sheet,fills blank
grants,39,address,"6200 S Broadway, Los Angeles, CA",collaborator-sheet,fills blank
grants,40,new_build,YES,collaborator-sheet,
grants,40,manual_status,dead,collaborator-sheet,
grants,40,resolution,24-380,collaborator-sheet,fills blank
grants,40,address,"4228 Western Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,41,new_build,YES,collaborator-sheet,
grants,41,address,"4327 S Vermont, Los Angeles, CA",collaborator-sheet,fills blank
grants,42,new_build,YES,collaborator-sheet,
grants,42,manual_status,dead,collaborator-sheet,
grants,42,address,"110 Imperial Highway, Los Angeles, CA",collaborator-sheet,fills blank
grants,38,new_build,NO,collaborator-sheet,
grants,38,built,1965,collaborator-sheet,
grants,38,address,"12300 Sherman Way, North Hollywood, CA 91605",collaborator-sheet,fills blank
grants,43,new_build,NO,collaborator-sheet,
grants,43,manual_status,dead,collaborator-sheet,
grants,43,address,"400 Canal St, San Rafael, CA 94901",collaborator-sheet,fills blank
grants,43,city_cut,14850,collaborator-sheet,fills blank
grants,46,new_build,YES,collaborator-sheet,
grants,46,manual_status,dead,collaborator-sheet,
grants,46,address,"4752 Main St, Los Angeles, CA 90037",collaborator-sheet,fills blank
grants,45,investor_2,Bridge Investment Group,collaborator-sheet,
grants,45,new_build,NO,collaborator-sheet,
grants,45,address,"2414 N Tustin Ave, Santa Ana, CA 92705",collaborator-sheet,fills blank
grants,48,investor_2,Ethos Real Estate,collaborator-sheet,
grants,48,new_build,NO,collaborator-sheet,
grants,48,scc_filed,True,collaborator-sheet,
grants,48,address,"3500 Edison St, San Mateo, CA 94403",collaborator-sheet,fills blank
grants,47,new_build,YES,collaborator-sheet,
grants,47,address,"6171 Mission Gorge Rd, San Diego, CA 92120",collaborator-sheet,fills blank
grants,44,new_build,YES,collaborator-sheet,
grants,44,address,"228 N Soto Street, Los Angeles, CA",collaborator-sheet,fills blank
grants,50,new_build,NO,collaborator-sheet,
grants,50,address,"699 14th Street, San Diego, CA",collaborator-sheet,fills blank
grants,50,city_cut,34350,collaborator-sheet,fills blank
grants,52,new_build,NO,collaborator-sheet,
grants,52,manual_status,dead,collaborator-sheet,
grants,52,city,Unincorporated,collaborator-sheet,fills blank
grants,52,address,"1201 Fulton Ave, Sacramento, CA 95825",collaborator-sheet,fills blank
grants,52,city_cut,9300,collaborator-sheet,fills blank
grants,51,new_build,NO,collaborator-sheet,
grants,51,built,1984,collaborator-sheet,
grants,51,manual_status,dead,collaborator-sheet,
grants,51,total_units,145,collaborator-sheet,adjudicated 2026-08 (Drew): manual correct (145)
grants,51,address,"220 47th St, San Diego, CA 92102",collaborator-sheet,fills blank
grants,53,new_build,NO,collaborator-sheet,
grants,53,built,1973/1991,collaborator-sheet,
grants,53,manual_status,dead,collaborator-sheet,
grants,53,city,Unincorporated,collaborator-sheet,fills blank
grants,53,address,"6930 Fair Oaks Blvd, Carmichael, CA 95608",collaborator-sheet,fills blank
grants,53,city_cut,29700,collaborator-sheet,fills blank
grants,54,new_build,NO,collaborator-sheet,
grants,54,resolution,24-442,collaborator-sheet,fills blank
grants,55,investor_2,"Open House Group Co., Ltd",collaborator-sheet,
grants,55,new_build,YES,collaborator-sheet,
grants,56,leasing_link,https://bridgehousing.com/properties/viewpoint/,collaborator-sheet,
grants,56,address,"651 Addison St, Berkeley, CA 94710",collaborator-sheet,fills blank
grants,59,new_build,YES,collaborator-sheet,
grants,59,built,2023,collaborator-sheet,
grants,59,city,San Francisco,collaborator-sheet,fills blank
grants,59,resolution,24-471,collaborator-sheet,fills blank
grants,59,address,"99 OCEAN AVE SAN FRANCISCO, CA 94112-2548",collaborator-sheet,fills blank
grants,57,investor_2,Bridge Investment Group,collaborator-sheet,
grants,57,new_build,NO,collaborator-sheet,
grants,57,built,1969,collaborator-sheet,
grants,57,acquisition_price_m,61.1,collaborator-sheet,
grants,57,acquisition_date,2024-12-31,collaborator-sheet,
grants,57,link,https://www.ethos-re.com/news/sofi-at-los-gatos-creek-adam-siegman-comments-on-affordable-housing,collaborator-sheet,
grants,57,leasing_link,https://www.losgatoslandingapts.com/,collaborator-sheet,
grants,57,address,"2130 Southwest Expy, San Jose, CA 95126",collaborator-sheet,fills blank
grants,58,new_build,NO,collaborator-sheet,
grants,58,scc_filed,True,collaborator-sheet,
grants,58,address,"38441 5th St W, Palmdale, CA 93551",collaborator-sheet,fills blank
grants,60,new_build,YES,collaborator-sheet,
grants,60,total_units,196,collaborator-sheet,adjudicated 2026-08 (Drew): manual correct — 172 apartments + 24 townhomes = 196
grants,60,address,"5150 El Camino Real, Los Altos, CA",collaborator-sheet,fills blank
grants,60,city_cut,4350,collaborator-sheet,fills blank
grants,64,manual_status,dead,collaborator-sheet,
grants,64,resolution,25-080,collaborator-sheet,fills blank
grants,64,investor_1,Visionary Development Enterprises LLC,collaborator-sheet,fills blank
grants,64,nonprofit_partner,Housing on Merit,collaborator-sheet,fills blank
grants,64,total_units,33,collaborator-sheet,fills blank
grants,64,restricted_units,32,collaborator-sheet,fills blank
grants,64,address,"333 Douglas St, Los Angeles, CA",collaborator-sheet,fills blank
grants,64,city_cut,4800,collaborator-sheet,fills blank
grants,61,new_build,YES,collaborator-sheet,
grants,61,manual_status,dead,collaborator-sheet,
grants,61,resolution,25-081,collaborator-sheet,fills blank
grants,61,investor_1,"SoLa Impact, LLC",collaborator-sheet,fills blank
grants,61,nonprofit_partner,Housing on Merit,collaborator-sheet,fills blank
grants,61,total_units,166,collaborator-sheet,fills blank
grants,61,restricted_units,165,collaborator-sheet,fills blank
grants,61,address,"11422 S Broadway, Los Angeles, CA 90061",collaborator-sheet,fills blank
grants,61,city_cut,24750,collaborator-sheet,fills blank
grants,63,resolution,25-082,collaborator-sheet,fills blank
grants,63,address,"3081 N Main St, Walnut Creek, CA 94597",collaborator-sheet,fills blank
grants,63,city_cut,4800,collaborator-sheet,fills blank
grants,62,new_build,YES,collaborator-sheet,
grants,62,address,"2533 S Mansfield Ave, Los Angeles, CA 90016",collaborator-sheet,fills blank
grants,65,new_build,NO,collaborator-sheet,
grants,65,built,1978,collaborator-sheet,
grants,66,manual_status,dead,collaborator-sheet,
grants,66,address,"920 S. Gramercy Place, Los Angeles, CA",collaborator-sheet,fills blank
grants,69,manual_status,dead,collaborator-sheet,
grants,69,address,"10535 Lindley Ave, Granada Hills, CA 91326",collaborator-sheet,fills blank
grants,68,new_build,NO,collaborator-sheet,
grants,68,built,1964,collaborator-sheet,
grants,68,address,"9830 Reseda Blvd, Northridge, CA 91324",collaborator-sheet,fills blank
grants,70,address,"26 Terrace View Ct, Daly City, CA 94015",collaborator-sheet,fills blank
grants,71,acquisition_date,2024-12-05,collaborator-sheet,
grants,71,leasing_link,https://www.theheltsley.com/,collaborator-sheet,
grants,71,restricted_units,112,collaborator-sheet,fills blank
grants,71,address,"1212 Whipple Ave, Redwood City, CA 94062",collaborator-sheet,fills blank
grants,72,investor_2,Angeleno Investments LP,collaborator-sheet,
grants,72,new_build,NO,collaborator-sheet,
grants,72,built,2016,collaborator-sheet,
grants,72,city,San Francisco,collaborator-sheet,fills blank
grants,72,restricted_units,136,collaborator-sheet,fills blank
grants,72,address,"5880 3rd St, San Francisco, CA 94124",collaborator-sheet,fills blank
grants,72,city_cut,20400,collaborator-sheet,fills blank
grants,73,new_build,YES,collaborator-sheet,
grants,73,address,"1540 W Court St, Los Angeles, CA 90026",collaborator-sheet,fills blank
grants,75,investor_2,Bridge Investment Group,collaborator-sheet,
grants,75,new_build,NO,collaborator-sheet,
grants,75,address,"5474 Reservoir Dr, San Diego, CA 92120",collaborator-sheet,fills blank
grants,75,city_cut,30450,collaborator-sheet,fills blank
grants,74,new_build,YES,collaborator-sheet,
grants,74,scc_filed,True,collaborator-sheet,
grants,74,restricted_units,145,collaborator-sheet,fills blank
grants,74,address,"5040 Logan Avenue, San Diego, CA 92113",collaborator-sheet,fills blank
grants,74,city_cut,22050,collaborator-sheet,fills blank
grants,76,new_build,YES,collaborator-sheet,
grants,76,address,"1451 W. MLK Blvd, Los Angeles, CA",collaborator-sheet,fills blank
grants,78,new_build,NO,collaborator-sheet,
grants,78,link,https://www.cmfa-ca.com/wp-content/uploads/2025/01/CMFA-Staff-Reports-01-10-25.pdf,collaborator-sheet,
grants,78,restricted_units,1008,collaborator-sheet,fills blank
grants,78,address,"3400 Richmond Pkwy, Richmond, CA 94806",collaborator-sheet,fills blank
grants,80,new_build,YES,collaborator-sheet,
grants,80,address,"4101 Somerset Drive, Los Angeles, CA",collaborator-sheet,fills blank
grants,81,new_build,YES,collaborator-sheet,
grants,81,restricted_units,30,collaborator-sheet,fills blank
grants,81,address,"321 E. Florence Ave, Los Angeles, CA",collaborator-sheet,fills blank
grants,82,new_build,YES,collaborator-sheet,
grants,82,address,"9300 Compton Ave., Los Angeles, CA",collaborator-sheet,fills blank
grants,83,new_build,YES,collaborator-sheet,
grants,83,address,"6401 S. Avalon Blvd., Los Angeles, CA",collaborator-sheet,fills blank
grants,84,new_build,YES,collaborator-sheet,
grants,84,address,"9515 Compton Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,79,new_build,YES,collaborator-sheet,
grants,79,address,"10811 S. Compton Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,85,new_build,YES,collaborator-sheet,
grants,85,address,"569 W. 6th Street, San Pedro, CA",collaborator-sheet,fills blank
grants,86,new_build,YES,collaborator-sheet,
grants,86,address,"685 W. 4th St., Los Angeles, CA",collaborator-sheet,fills blank
grants,87,new_build,NO,collaborator-sheet,
grants,87,address,"209 Westmoreland Ave, Los Angeles, CA 90004",collaborator-sheet,fills blank
grants,77,new_build,YES,collaborator-sheet,
grants,77,address,"11630 Main St, Los Angeles, CA 90061",collaborator-sheet,fills blank
grants,90,new_build,NO,collaborator-sheet,
grants,90,address,"18615 E Arrow Hwy, Covina, CA 91722",collaborator-sheet,fills blank
grants,89,acquisition_date,2025-09-03,collaborator-sheet,
grants,89,address,"1700 Newbury Park Dr, San Jose, CA 95133",collaborator-sheet,fills blank
grants,158,new_build,YES,collaborator-sheet,
grants,158,manual_status,dead,collaborator-sheet,
grants,88,new_build,YES,collaborator-sheet,
grants,88,address,"17188 Chatsworth St., Los Angeles, CA",collaborator-sheet,fills blank
grants,97,new_build,NO,collaborator-sheet,
grants,97,address,"601 E 8th St, Azusa, CA 91702",collaborator-sheet,fills blank
grants,96,investor_2,Vistria,collaborator-sheet,
grants,96,built,1972,collaborator-sheet,
grants,96,acquisition_price_m,410,collaborator-sheet,
grants,96,acquisition_date,2025-08-27,collaborator-sheet,
grants,96,address,"355 Kiely Blvd, San Jose, CA 95129",collaborator-sheet,fills blank
grants,95,investor_2,Belveron Partners,collaborator-sheet,
grants,95,acquisition_date,2025-08-29,collaborator-sheet,
grants,95,link,https://rebusinessonline.com/sack-properties-belveron-partners-buy-164-unit-multifamily-property-in-san-jose-california/,collaborator-sheet,
grants,95,resolution,25-349,collaborator-sheet,fills blank
grants,95,address,"1026 S De Anza Blvd, San Jose, CA 95129",collaborator-sheet,fills blank
grants,92,new_build,NO,collaborator-sheet,
grants,92,address,"4640 Arden Way, El Monte, CA 91731",collaborator-sheet,fills blank
grants,93,new_build,NO,collaborator-sheet,
grants,93,resolution,25-351,collaborator-sheet,fills blank
grants,93,nonprofit_partner,BRIDGE Housing Corp.,collaborator-sheet,fills blank
grants,93,address,"800 Reliant Wy, American Canyon, CA 94503",collaborator-sheet,fills blank
grants,94,new_build,NO,collaborator-sheet,
grants,94,built,1981,collaborator-sheet,
grants,94,address,"601 Telegraph Canyon Road, Chula Vista, CA 91910",collaborator-sheet,fills blank
grants,91,new_build,YES,collaborator-sheet,
grants,91,address,"10910 Huston St, North Hollywood, CA 91601",collaborator-sheet,fills blank
grants,98,new_build,NO,collaborator-sheet,
grants,98,leasing_link,https://www.camdenvillageapts.com/,collaborator-sheet,
grants,98,manual_status,dead,collaborator-sheet,
grants,98,address,"38000 Camden St, Fremont, CA 94536",collaborator-sheet,fills blank
grants,99,new_build,YES,collaborator-sheet,
grants,99,restricted_units,53,collaborator-sheet,fills blank
grants,99,address,"1734 S. Barrington Ave., Los Angeles, CA, 90025",collaborator-sheet,fills blank
grants,100,new_build,YES,collaborator-sheet,
grants,100,address,"4129 Centinela Avenue, Los Angeles, CA 90066",collaborator-sheet,fills blank
grants,101,new_build,YES,collaborator-sheet,
grants,101,address,"4706 Centinela Avenue, Los Angeles, CA 90066",collaborator-sheet,fills blank
grants,102,new_build,YES,collaborator-sheet,
grants,102,address,"1747 Stoner Avenue, Los Angeles, CA 90025",collaborator-sheet,fills blank
grants,103,new_build,NO,collaborator-sheet,
grants,103,address,"2025 E. 4th Street, Los Angeles, CA",collaborator-sheet,fills blank
grants,104,new_build,NO,collaborator-sheet,
grants,104,address,"247 S. Alexandria Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,105,new_build,NO,collaborator-sheet,
grants,105,address,"808 S. Hobart Boulevard, Los Angeles, CA",collaborator-sheet,fills blank
grants,106,new_build,NO,collaborator-sheet,
grants,106,address,"454 S. Catalina Street, Los Angeles, CA",collaborator-sheet,fills blank
grants,107,new_build,NO,collaborator-sheet,
grants,107,address,"103 S. Edgemont Street, Los Angeles, CA 90004",collaborator-sheet,fills blank
grants,108,new_build,NO,collaborator-sheet,
grants,108,address,"974 S. Gramercy Place, Los Angeles, CA",collaborator-sheet,fills blank
grants,109,new_build,NO,collaborator-sheet,
grants,109,address,"832 Irolo Street, Los Angeles, CA",collaborator-sheet,fills blank
grants,110,new_build,NO,collaborator-sheet,
grants,110,address,"941 S. Kenmore Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,111,new_build,NO,collaborator-sheet,
grants,111,investor_1,K3 Holdings,collaborator-sheet,fills blank
grants,111,nonprofit_partner,"Kingdom Development, Inc.",collaborator-sheet,fills blank
grants,111,total_units,40,collaborator-sheet,fills blank
grants,111,restricted_units,40,collaborator-sheet,fills blank
grants,111,address,"426 S. Manhattan Place, Los Angeles, CA",collaborator-sheet,fills blank
grants,111,city_cut,6000,collaborator-sheet,fills blank
grants,112,new_build,NO,collaborator-sheet,
grants,112,address,"260 S. Mariposa Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,113,new_build,NO,collaborator-sheet,
grants,113,address,"739 S. Normandie Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,114,new_build,NO,collaborator-sheet,
grants,114,address,"1111 S. Norton Avenue, Los Angeles, CA 90019",collaborator-sheet,fills blank
grants,115,new_build,NO,collaborator-sheet,
grants,115,address,"975-985 S. Oxford Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,116,new_build,NO,collaborator-sheet,
grants,116,address,"960 S. Oxford Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,117,new_build,NO,collaborator-sheet,
grants,117,address,"3715 W. 1st Street, Los Angeles, CA",collaborator-sheet,fills blank
grants,118,new_build,NO,collaborator-sheet,
grants,118,address,"515 S. St. Andrews Place, Los Angeles, CA 90020",collaborator-sheet,fills blank
grants,119,new_build,NO,collaborator-sheet,
grants,119,investor_1,K3 Holdings,collaborator-sheet,fills blank
grants,119,nonprofit_partner,"Kingdom Development, Inc.",collaborator-sheet,fills blank
grants,119,total_units,59,collaborator-sheet,fills blank
grants,119,restricted_units,59,collaborator-sheet,fills blank
grants,119,address,"516 S. St. Andrews Place, Los Angeles, CA 90020",collaborator-sheet,fills blank
grants,119,city_cut,8850,collaborator-sheet,fills blank
grants,120,new_build,NO,collaborator-sheet,
grants,120,city,Unincorporated,collaborator-sheet,"reviewed 2026-08-22, manual kept: unincorporated area is the precise answer"
grants,120,address,"2345 Northrop Ave, Sacramento, CA 95825",collaborator-sheet,fills blank
grants,120,city_cut,40800,collaborator-sheet,fills blank
grants,131,new_build,NO,collaborator-sheet,
grants,131,address,"1260 Grove St, Healdsburg, CA 95448",collaborator-sheet,fills blank
grants,160,new_build,NO,collaborator-sheet,
grants,160,address,"3048 W. 12th Street, CA 90006",collaborator-sheet,fills blank
grants,121,new_build,NO,collaborator-sheet,
grants,121,investor_1,K3 Holdings,collaborator-sheet,fills blank
grants,121,nonprofit_partner,"Kingdom Development, Inc.",collaborator-sheet,fills blank
grants,121,total_units,30,collaborator-sheet,fills blank
grants,121,restricted_units,30,collaborator-sheet,fills blank
grants,121,address,"130 S. Alexandria Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,121,city_cut,4500,collaborator-sheet,fills blank
grants,122,new_build,NO,collaborator-sheet,
grants,122,address,"861 Fedora Street, Los Angeles, CA",collaborator-sheet,fills blank
grants,123,new_build,NO,collaborator-sheet,
grants,123,address,"200 S. Kenmore Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,124,new_build,NO,collaborator-sheet,
grants,124,address,"915 S. Kenmore Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,125,new_build,NO,collaborator-sheet,
grants,125,property_name,Kingsley Apartments,collaborator-sheet,"reviewed 2026-08-22, manual kept: agenda typo Kinglsey"
grants,125,address,"530 Kingsley Drive, Los Angeles, CA",collaborator-sheet,fills blank
grants,126,new_build,NO,collaborator-sheet,
grants,126,address,"727 S. Mariposa Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,127,new_build,NO,collaborator-sheet,
grants,127,address,"750-752 S. Mariposa Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,128,new_build,NO,collaborator-sheet,
grants,128,address,"520 S. Mariposa Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,129,new_build,NO,collaborator-sheet,
grants,129,address,"207 N. Oxford Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,130,new_build,NO,collaborator-sheet,
grants,130,address,"1057 S. Western Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,135,new_build,YES,collaborator-sheet,
grants,135,address,"236 N. Berendo Street., Los Angeles, CA",collaborator-sheet,fills blank
grants,134,new_build,YES,collaborator-sheet,
grants,134,address,"10705 Avalon Blvd, Los Angeles, CA",collaborator-sheet,fills blank
grants,132,address,"7524 S. Hoover St, Los Angeles, CA",collaborator-sheet,fills blank
grants,136,investor_1,Ethos Real Estate,collaborator-sheet,fills blank
grants,136,restricted_units,260,collaborator-sheet,fills blank
grants,141,new_build,NO,collaborator-sheet,
grants,141,built,1984,collaborator-sheet,
grants,141,address,"5669 N Fresno St, Fresno, CA 93710",collaborator-sheet,fills blank
grants,137,new_build,YES,collaborator-sheet,
grants,137,address,"18337 Kittridge St, Reseda, CA 91335",collaborator-sheet,fills blank
grants,142,address,"9033 Ramsgate Avenue, Westchester, CA",collaborator-sheet,fills blank
grants,143,new_build,NO,collaborator-sheet,
grants,143,restricted_units,55,collaborator-sheet,fills blank
grants,143,address,"805 71st Avenue, Oakland, CA",collaborator-sheet,fills blank
grants,140,new_build,NO,collaborator-sheet,
grants,140,manual_status,stale,collaborator-sheet,
grants,140,address,"1180 Lochinvar Ave, Sunnyvale, CA 94087",collaborator-sheet,fills blank
grants,139,new_build,NO,collaborator-sheet,
grants,139,manual_status,dead,collaborator-sheet,
grants,139,nonprofit_partner,Community HousingWorks,collaborator-sheet,fills blank
grants,139,address,"5210 Monterey Rd, San Jose, CA 95111",collaborator-sheet,fills blank
grants,138,new_build,NO,collaborator-sheet,
grants,138,address,"3765 Tamarack Ln, Santa Clara, CA 95051",collaborator-sheet,fills blank
grants,146,new_build,YES,collaborator-sheet,
grants,146,restricted_units,40,collaborator-sheet,fills blank
grants,146,address,"7655 S San Pedro St, Los Angeles, CA 90003",collaborator-sheet,fills blank
grants,147,new_build,NO,collaborator-sheet,
grants,147,manual_status,stale,collaborator-sheet,
grants,147,restricted_units,55,collaborator-sheet,fills blank
grants,147,address,"805 71st Avenue, Oakland, CA",collaborator-sheet,fills blank
grants,148,new_build,NO,collaborator-sheet,
grants,148,built,1929,collaborator-sheet,
grants,148,manual_status,dead,collaborator-sheet,
grants,149,new_build,NO,collaborator-sheet,
grants,149,manual_status,dead,collaborator-sheet,
grants,149,address,"841 S Serrano Ave, Los Angeles, CA 90005",collaborator-sheet,fills blank
grants,150,new_build,NO,collaborator-sheet,
grants,150,manual_status,dead,collaborator-sheet,
grants,150,address,"715 Normandie Ave, Los Angeles, CA 90005",collaborator-sheet,fills blank
