project_id,county,property_name,ain,apn,situs_address,legacy_redundant,assignment_source,method,notes,roll_year,roll_land_value,roll_imp_value,roll_total_value,real_estate_exemp,year_built,use_description,value_source,fetch_date,operative_project_id,assignment_check
17,Los Angeles,4252 Crenshaw Apartments,5024017036,5024-017-036,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,False,collaborator-sheet,manual_verified,,2026,4200000,25000000,29200000,0,2019,Five or more apartments,la-county-api,2026-08-22,17,situs-match
18,San Diego,Fallbrook Trail Apartments,1043514700,,1735.0 S MISSION RD FALLBROOK CA 92028-4548,False,collaborator-sheet,,,2026,9568699,24203182,33771881,,21,29,sandag-parcels,2026-08-22,18,situs-match
19,Orange,The Arbors Apartments,39612209,,1100.0 FAIRHAVEN AVE SANTA ANA CA 92705-6754,False,collaborator-sheet,,,,,,18340000,,,,collaborator-sheet,,19,no-situs
19,Orange,The Arbors Apartments,39612130,,1200 FAIRHAVEN AVE SANTA ANA CA 92705-6754,False,collaborator-sheet,,,,,,22410000,,,,collaborator-sheet,,19,no-situs
20,Los Angeles,Pinetree Terrace Apartments,2102015045,2102-015-045,7940 RESEDA BLVD LOS ANGELES CA 91335,False,collaborator-sheet,manual_verified,,2026,7282800,11028240,18311040,17364360,1978,Five or more apartments,la-county-api,2026-08-22,20,situs-match
21,Los Angeles,Windmere Court Apartments,2119001222,2119-001-222,18325 SATICOY ST LOS ANGELES CA 91335,False,collaborator-sheet,manual_verified,,2026,7282800,9675720,16958520,16632918,1989,Five or more apartments,la-county-api,2026-08-22,21,situs-match
22,Los Angeles,Seville Gardens Apartments,6320011041,6320-011-041,2701 RANDOLPH ST HUNTINGTON PARK CA 90255,False,collaborator-sheet,manual_verified,,2026,7022700,28090800,35113500,35113500,1989,Five or more apartments,la-county-api,2026-08-22,22,situs-match
23,Los Angeles,Harbour Residences Apartments,7418014021,7418-014-021,445 N AVALON BLVD LOS ANGELES CA 90744,False,collaborator-sheet,manual_verified,,2026,3268077,5809593,9077670,0,,Stores,la-county-api,2026-08-22,23,situs-match
24,Los Angeles,4209 Western Avenue Apartments,5021028002,5021-028-002,4209 S WESTERN AVE LOS ANGELES CA 90062,False,collaborator-sheet,manual_verified,,2026,6367248,4775436,11142684,7131318,2022,Store Combination,la-county-api,2026-08-22,24,situs-match
25,Los Angeles,1130 Martin Luther King Jr. Blvd Apartments,5020017007,5020-017-007,1130 W MARTIN LUTHER KING JR BLVD LOS ANGELES CA 90037,False,collaborator-sheet,manual_verified,,2026,9338630,3714228,13052858,11703193,2021,Store Combination,la-county-api,2026-08-22,25,situs-match
26,Los Angeles,Harbor Terrace Apartments,7455002027,7455-002-027,441 W 3RD ST LOS ANGELES CA 90731,False,collaborator-sheet,manual_verified,,2026,2917200,21817800,24735000,21544186,1987,Five or more apartments,la-county-api,2026-08-22,26,situs-match
27,Los Angeles,Santa Monica Portfolio A Apartments,4291019007,4291-019-007,1428 6TH ST SANTA MONICA CA 90401,False,collaborator-sheet,manual_verified_multi,Multi-parcel (2),2026,2907000,5783400,8690400,8690400,1998,Five or more apartments,la-county-api,2026-08-22,27,situs-match
27,Los Angeles,Santa Monica Portfolio A Apartments,4291019006,4291-019-006,1422 6TH ST SANTA MONICA CA 90401,False,collaborator-sheet,manual_verified_multi,Multi-parcel (2),2026,2907000,5916000,8823000,1076823,1997,Store Combination,la-county-api,2026-08-22,27,situs-match
28,Los Angeles,Santa Monica Portfolio B Apartments,4291020005,4291-020-005,1422 7TH ST SANTA MONICA CA 90401,False,collaborator-sheet,manual_verified_multi,Multi-parcel (3),2026,3060000,4743000,7803000,6661422,1996,Five or more apartments,la-county-api,2026-08-22,28,situs-match
28,Los Angeles,Santa Monica Portfolio B Apartments,4291020006,4291-020-006,1430 7TH ST SANTA MONICA CA 90401,False,collaborator-sheet,manual_verified_multi,Multi-parcel (3),2026,3060000,4743000,7803000,6661422,1996,Five or more apartments,la-county-api,2026-08-22,28,situs-match
28,Los Angeles,Santa Monica Portfolio B Apartments,4291020007,4291-020-007,1432 7TH ST SANTA MONICA CA 90401,False,collaborator-sheet,manual_verified_multi,Multi-parcel (3),2026,3060000,4865400,7925400,6765914,2000,Five or more apartments,la-county-api,2026-08-22,28,situs-match
29,Los Angeles,Santa Monica Portfolio C Apartments,4291020018,4291-020-018,1425 6TH ST SANTA MONICA CA 90401,False,collaborator-sheet,manual_verified_multi,Multi-parcel (2),2026,6426000,4233000,10659000,6661875,1998,Five or more apartments,la-county-api,2026-08-22,29,situs-match
29,Los Angeles,Santa Monica Portfolio C Apartments,4291020019,4291-020-019,1423 6TH ST SANTA MONICA CA 90401,False,collaborator-sheet,manual_verified_multi,Multi-parcel (2),2026,6426000,4233000,10659000,6661875,1998,Five or more apartments,la-county-api,2026-08-22,29,situs-match
30,Los Angeles,Santa Monica Portfolio D Apartments,4291024007,4291-024-007,1522 6TH ST SANTA MONICA CA 90401,False,collaborator-sheet,manual_verified,,2026,3672000,3519000,7191000,6085025,2004,Five or more apartments,la-county-api,2026-08-22,30,situs-match
31,Los Angeles,Santa Monica Portfolio E Apartments,4291022015,4291-022-015,1537 7TH ST SANTA MONICA CA 90401,False,collaborator-sheet,manual_verified,,2026,3672000,3039600,6711600,0,2003,Five or more apartments,la-county-api,2026-08-22,31,situs-match
32,Los Angeles,Santa Monica Portfolio F Apartments,4275024005,4275-024-005,2001 OLYMPIC BLVD SANTA MONICA CA 90404,False,collaborator-sheet,manual_verified_multi,Multi-parcel (2),2026,2172600,6997200,9169800,1892157,2008,Five or more apartments,la-county-api,2026-08-22,32,situs-match
32,Los Angeles,Santa Monica Portfolio F Apartments,4275024015,4275-024-015,2029 OLYMPIC BLVD SANTA MONICA CA 90404,False,collaborator-sheet,manual_verified_multi,Multi-parcel (2),2026,5526360,15240840,20767200,20767200,2009,Five or more apartments,la-county-api,2026-08-22,32,situs-match
33,Los Angeles,7524 S. Hoover St. Apartments,6020022027,6020-022-027,7524 S HOOVER ST,True,collaborator-sheet,parcel_in_transition,Legacy AIN 6020022025 no longer exists. New AIN 6020022027 has no data yet.,,,,,,,,,,132,
34,Contra Costa,Appian Terrace Apartments,4251100188,,4481.0 APPIAN WAY EL SOBRANTE CA 94803-2200,False,collaborator-sheet,,,,,,9977564,0,,,collaborator-sheet,,34,no-situs
35,Sacramento,Sierra Park Apartments,22802520400000,228-0252-040-0000,4924 POLK ST NORTH HIGHLANDS CA 95660,False,collaborator-sheet,,,,,,25646900,23179668,,,collaborator-sheet,,35,no-situs
36,Los Angeles,Stadium Village Apartments,4025014001,4025-014-001,9301 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014002,4025-014-002,9309 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014003,4025-014-003,9317 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014004,4025-014-004,9325 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014005,4025-014-005,9333 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014006,4025-014-006,9341 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014007,4025-014-007,9401 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014008,4025-014-008,9409 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014009,4025-014-009,9417 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014010,4025-014-010,9425 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014011,4025-014-011,9433 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014012,4025-014-012,9441 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014013,4025-014-013,9501 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014014,4025-014-014,9509 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014015,4025-014-015,9517 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014016,4025-014-016,9525 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014017,4025-014-017,9533 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025014018,4025-014-018,9541 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025015001,4025-015-001,9601 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
36,Los Angeles,Stadium Village Apartments,4025015002,4025-015-002,9609 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20),2026,785400,586500,1371900,0,1955,Four Units (Any Combination),la-county-api,2026-08-22,36,situs-match
37,Los Angeles,2330 E. 3rd Street Apartments,5183013023,5183-013-023,2330 E 3RD ST,False,collaborator-sheet,parcel_in_transition,Legacy AIN 5183013001 consolidated to 5183013023,2026,1275000,0,1275000,1275000,,Single,la-county-api,2026-08-22,37,situs-match
38,Los Angeles,Marquee Apartments,2321001019,2321-001-019,12300 SHERMAN WAY LOS ANGELES CA 91605,False,collaborator-sheet,manual_verified,,2026,30396000,14280000,44676000,32564337,1965,Five or more apartments,la-county-api,2026-08-22,38,situs-match
39,Los Angeles,6200 S. Broadway Apartments,6005021032,6005-021-032,6200 S BROADWAY LOS ANGELES CA 90003,False,collaborator-sheet,manual_verified,,2026,1353040,0,1353040,0,2012,Commercial,la-county-api,2026-08-22,39,situs-match
40,Los Angeles,4228 Western Ave. Apartments,5021009036,5021-009-036,4238 S WESTERN AVE LOS ANGELES CA 90062,False,collaborator-sheet,manual_verified,,2026,2300000,13096000,15396000,0,2024,Stores,la-county-api,2026-08-22,349,situs-match
41,Los Angeles,4327 S. Vermont Apartments,5020025039,5020-025-039,4301 S VERMONT AVE LOS ANGELES CA 90037,False,collaborator-sheet,manual_verified,,2026,3599652,194296,3793948,0,1968,Stores,la-county-api,2026-08-22,41,situs-match
42,Los Angeles,2023 Imperial Apartments,6083001009,6083-001-009,110 E IMPERIAL HWY LOS ANGELES CA 90061,False,collaborator-sheet,manual_verified,,2026,217526,220425,437951,0,1951,Lgt Manf.Sm. EQPT. Manuf Sm.Shps Instr.Manuf. Prnt Plnts,la-county-api,2026-08-22,42,situs-match
43,Marin,Meridian Apartments,01419405,,400 CANAL ST SAN RAFAEL CA 94901-4173,False,collaborator-sheet,,,,,,33879341,,,,collaborator-sheet,,323,no-situs
44,Los Angeles,Soto Apartments,5180001024,5180-001-024,228 N SOTO ST,False,collaborator-sheet,parcel_in_transition,Legacy AIN 5180001013 consolidated to 5180001024,2026,1407600,2876400,4284000,4284000,2024,Five or more apartments,la-county-api,2026-08-22,44,situs-match
45,Orange,Horizon Apartments,39626156,,2414 N TUSTIN AVE SANTA ANA CA 92705-1602,False,collaborator-sheet,,,,,,25500000,,,,collaborator-sheet,,45,no-situs
45,Orange,Horizon Apartments,39626155,,2414 N TUSTIN AVE SANTA ANA CA 92705-1602,False,collaborator-sheet,,,,,,103700000,,,,collaborator-sheet,,45,no-situs
46,Los Angeles,4752 Main Street Apartments,5109003014,5109-003-014,4752 S MAIN ST LOS ANGELES CA 90037,False,collaborator-sheet,manual_verified_multi,Multi-parcel (2),2026,611659,1102,612761,0,1955,Parking Lots (Commercial Use Properties),la-county-api,2026-08-22,46,situs-match
46,Los Angeles,4752 Main Street Apartments,5109003001,5109-003-001,4760 S MAIN ST LOS ANGELES CA 90037,False,collaborator-sheet,manual_verified_multi,Multi-parcel (2),2026,711026,1102,712128,0,1955,Parking Lots (Commercial Use Properties),la-county-api,2026-08-22,46,situs-match
47,San Diego,6171 Mission Gorge Apartments,4610304300,,6171.0 MISSION GORGE RD SAN DIEGO CA 92120-3426,False,collaborator-sheet,,,2026,13158000,204000,13362000,,77,21,sandag-parcels,2026-08-22,47,situs-match
48,San Mateo,Hillsdale Gardens Apartments,039481250,,"3500 Edison St, San Mateo, CA",False,collaborator-sheet,,,,,,31083000,7000,,,collaborator-sheet,,48,no-situs
48,San Mateo,Hillsdale Gardens Apartments,039482130,,"3500 Edison St, San Mateo, CA",False,collaborator-sheet,,,,,,62932900,7000,,,collaborator-sheet,,48,no-situs
48,San Mateo,Hillsdale Gardens Apartments,042112240,,242 36TH AVE SAN MATEO,False,collaborator-sheet,,,,,,44821400,7000,,,collaborator-sheet,,48,no-situs
48,San Mateo,Hillsdale Gardens Apartments,042113250,,3640 EDISON ST,False,collaborator-sheet,,,,,,31161700,7000,,,collaborator-sheet,,48,no-situs
48,San Mateo,Hillsdale Gardens Apartments,042121090,,186 36TH AVE SAN MATEO,False,collaborator-sheet,,,,,,41355000,0,,,collaborator-sheet,,48,no-situs
48,San Mateo,Hillsdale Gardens Apartments,042122050,,3675 EDISON ST SAN MATEO,False,collaborator-sheet,,,,,,41008500,0,,,collaborator-sheet,,48,no-situs
49,Alameda,Summerwood Apartments Homes Apartments,4281649,,"21701 FOOTHILL BLVD, HAYWARD, CA 94541",False,collaborator-sheet,,,,,,38656726,,,,collaborator-sheet,,49,no-situs
50,San Diego,Market Street Village Apartments,5351441500,,699.0 14TH ST SAN DIEGO CA 92101-7586,False,collaborator-sheet,,"Reviewed 2026-08-22: grant covers PAR 2 only (229 units, per staff report and entity name). Same-situs siblings excluded: 5351441600 (PAR 3, commercial), 5351441400 (PAR 1), 5351441700 (PAR 4, 1450 Market — separate 242-unit phase).",2026,18360000,50003178,68363178,,06,16,sandag-parcels,2026-08-22,50,situs-match
51,San Diego,Creekside Villas Apartments,5473131800,,220 47TH ST SAN DIEGO CA 92102-5037,False,collaborator-sheet,,,2026,2142762,3925748,6068510,,90,16,sandag-parcels,2026-08-22,229,situs-match
52,Sacramento,The Carla Apartments,28501900330000,,1201.0 FULTON AVE SACRAMENTO CA 95825-7386,False,collaborator-sheet,,,,,,15111810,,,,collaborator-sheet,,52,no-situs
53,Sacramento,Skylark Place by Trion Living Apartments,26003700120000,,6930.0 FAIR OAKS BLVD CARMICHAEL CA 95608-3369,False,collaborator-sheet,,,,,,12145525,,,,collaborator-sheet,,53,no-situs
54,Los Angeles,Seaport Village Apartments,7157031001,7157-031-001,2697 E 56TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,874604,2040384,2914988,562277,1963,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031002,7157-031-002,2687 E 56TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,795586,2040384,2835970,515864,1963,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031003,7157-031-003,2677 E 56TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,795586,2040384,2835970,1031443,1963,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031004,7157-031-004,2667 E 56TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,822648,2040384,2863032,520786,1963,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031005,7157-031-005,2657 E 56TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,1611740,4362201,5973941,2844792,1963,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031006,7157-031-006,5679 LANGPORT AVE LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,716568,1970025,2686593,1074638,1963,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031007,7157-031-007,5649 LANGPORT AVE LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,716568,1970025,2686593,0,1963,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031008,7157-031-008,5639 LANGPORT AVE LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,716568,1970025,2686593,537319,1963,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031009,7157-031-009,5599 LANGPORT AVE LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,716568,1970025,2686593,1074638,1963,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031010,7157-031-010,5579 LANGPORT AVE LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,716568,1970025,2686593,1343297,1963,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031011,7157-031-011,5549 LANGPORT AVE LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,716568,1970025,2686593,1074638,1962,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031012,7157-031-012,5539 LANGPORT AVE LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,742547,1970025,2712572,1085029,1962,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031013,7157-031-013,2656 E 55TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,1325978,3236471,4562449,1824981,1962,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031014,7157-031-014,2666 E 55TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,742547,2040384,2782931,556587,1962,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031015,7157-031-015,2676 E 55TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,742547,2040384,2782931,556587,1962,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031016,7157-031-016,2686 E 55TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,742547,2040384,2782931,278294,1962,Five or more apartments,la-county-api,2026-08-22,54,documented
54,Los Angeles,Seaport Village Apartments,7157031017,7157-031-017,2696 E 55TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)",2026,822648,2040384,2863032,572607,1962,Five or more apartments,la-county-api,2026-08-22,54,documented
